position,Player Name,goals,Club
0,MohamedSalah Ghaly,20,Liverpool
1,Diogo Jota,13,Liverpool
2,Cristiano Ronaldo,12,Man Utd
3,Harry Kane,12,Spurs
4,Sadio Mané,12,Liverpool
5,Son Heung-Min,11,Spurs
6,Ivan Toney,11,Brentford
7,Riyad Mahrez,10,Man City
8,Raheem Sterling,10,Man City
9,Jamie Vardy,10,Leicester
10,TrentAlexander-Arnold,11,Liverpool
11,Andrew Robertson,10,Liverpool
12,Mohamed Salah,10,Liverpool
13,Paul Pogba,9,Man Utd
14,Jarrod Bowen,8,West Ham
15,Michail Antonio,7,West Ham
16,Gabriel Jesus,7,Man City
17,Alexandre Lacazette,7,Arsenal
18,Mason Mount,7,Chelsea
19,Saïd Benrahma,6,West Ham
